,input_number,input,input_ensg,ensg_number,ortholog_name,ortholog_ensg,description
599,488,Fgd5,ENSMUSG00000034037,488.1.1,FGD5,ENSG00000154783,"FYVE, RhoGEF and PH domain containing 5 [Source:HGNC Symbol;Acc:HGNC:19117]"
654,489,Gcc2,ENSMUSG00000038039,489.1.1,GCC2,ENSG00000135968,GRIP and coiled-coil domain containing 2 [Source:HGNC Symbol;Acc:HGNC:23218]
655,489,Gcc2,ENSMUSG00000107275,489.2.1,N/A,N/A,N/A
87,490,Ap2a2,ENSMUSG00000002957,490.1.1,AP2A2,ENSG00000183020,adaptor related protein complex 2 subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:562]
170,491,B230219D22Rik,ENSMUSG00000045767,491.1.1,C5orf24,ENSG00000181904,chromosome 5 open reading frame 24 [Source:HGNC Symbol;Acc:HGNC:26746]
2002,492,Wwc2,ENSMUSG00000031563,492.1.1,WWC2,ENSG00000151718,WW and C2 domain containing 2 [Source:HGNC Symbol;Acc:HGNC:24148]
143,493,Atp5g2,ENSMUSG00000062683,493.1.1,ATP5MC2,ENSG00000135390,N/A
1603,494,Senp6,ENSMUSG00000034252,494.1.1,SENP6,ENSG00000112701,SUMO specific peptidase 6 [Source:HGNC Symbol;Acc:HGNC:20944]
644,495,Gas6,ENSMUSG00000031451,495.1.1,GAS6,ENSG00000183087,growth arrest specific 6 [Source:HGNC Symbol;Acc:HGNC:4168]
744,496,Higd1a,ENSMUSG00000038412,496.1.1,HIGD1A,ENSG00000181061,HIG1 hypoxia inducible domain family member 1A [Source:HGNC Symbol;Acc:HGNC:29527]
249,497,Cbx1,ENSMUSG00000018666,497.1.1,CBX1,ENSG00000108468,chromobox 1 [Source:HGNC Symbol;Acc:HGNC:1551]
593,498,Fas,ENSMUSG00000024778,498.1.1,FAS,ENSG00000026103,Fas cell surface death receptor [Source:HGNC Symbol;Acc:HGNC:11920]
1520,499,Rps2,ENSMUSG00000044533,499.1.1,RPS2,ENSG00000140988,ribosomal protein S2 [Source:HGNC Symbol;Acc:HGNC:10404]
468,500,Dnajc3,ENSMUSG00000022136,500.1.1,DNAJC3,ENSG00000102580,DnaJ heat shock protein family (Hsp40) member C3 [Source:HGNC Symbol;Acc:HGNC:9439]
1873,501,Tor1aip1,ENSMUSG00000026466,501.1.1,TOR1AIP1,ENSG00000143337,torsin 1A interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:29456]
475,502,Dock4,ENSMUSG00000035954,502.1.1,DOCK4,ENSG00000128512,dedicator of cytokinesis 4 [Source:HGNC Symbol;Acc:HGNC:19192]
1578,503,Sbf2,ENSMUSG00000038371,503.1.1,SBF2,ENSG00000133812,SET binding factor 2 [Source:HGNC Symbol;Acc:HGNC:2135]
1626,504,Sh3bgrl3,ENSMUSG00000028843,504.1.1,SH3BGRL3,ENSG00000142669,SH3 domain binding glutamate rich protein like 3 [Source:HGNC Symbol;Acc:HGNC:15568]
1407,505,Ralgapa1,ENSMUSG00000021027,505.1.1,RALGAPA1,ENSG00000174373,Ral GTPase activating protein catalytic alpha subunit 1 [Source:HGNC Symbol;Acc:HGNC:17770]
204,506,Brk1,ENSMUSG00000033940,506.1.1,BRK1,ENSG00000254999,"BRICK1, SCAR/WAVE actin nucleating complex subunit [Source:HGNC Symbol;Acc:HGNC:23057]"
1539,507,Rps7,ENSMUSG00000061477,507.1.1,RPS7,ENSG00000171863,ribosomal protein S7 [Source:HGNC Symbol;Acc:HGNC:10440]
1181,508,Nrp1,ENSMUSG00000025810,508.1.1,NRP1,ENSG00000099250,neuropilin 1 [Source:HGNC Symbol;Acc:HGNC:8004]
1175,509,Npm1,ENSMUSG00000057113,509.1.1,N/A,N/A,N/A
1118,510,Ndufa4,ENSMUSG00000029632,510.1.1,NDUFA4,ENSG00000189043,"NDUFA4, mitochondrial complex associated [Source:HGNC Symbol;Acc:HGNC:7687]"
1822,511,Tln1,ENSMUSG00000028465,511.1.1,TLN1,ENSG00000137076,talin 1 [Source:HGNC Symbol;Acc:HGNC:11845]
975,512,Map4k4,ENSMUSG00000026074,512.1.1,MAP4K4,ENSG00000071054,mitogen-activated protein kinase kinase kinase kinase 4 [Source:HGNC Symbol;Acc:HGNC:6866]
1962,513,Usmg5,ENSMUSG00000071528,513.1.1,ATP5MD,ENSG00000173915,ATP synthase membrane subunit DAPIT [Source:HGNC Symbol;Acc:HGNC:30889]
714,514,H1f0,ENSMUSG00000096210,514.1.1,H1F0,ENSG00000189060,H1 histone family member 0 [Source:HGNC Symbol;Acc:HGNC:4714]
1065,515,mt-Nd4l,ENSMUSG00000065947,515.1.1,MT-ND4L,ENSG00000212907,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4L [Source:HGNC Symbol;Acc:HGNC:7460]
1343,516,Psenen,ENSMUSG00000036835,516.1.2,PSENEN,ENSG00000205155,"presenilin enhancer, gamma-secretase subunit [Source:HGNC Symbol;Acc:HGNC:30100]"
288,517,Cdk12,ENSMUSG00000003119,517.1.1,CDK12,ENSG00000167258,cyclin dependent kinase 12 [Source:HGNC Symbol;Acc:HGNC:24224]
1016,518,Mindy2,ENSMUSG00000042444,518.1.1,MINDY2,ENSG00000128923,MINDY lysine 48 deubiquitinase 2 [Source:HGNC Symbol;Acc:HGNC:26954]
2006,519,Xdh,ENSMUSG00000024066,519.1.1,XDH,ENSG00000158125,xanthine dehydrogenase [Source:HGNC Symbol;Acc:HGNC:12805]
2013,520,Yipf4,ENSMUSG00000024072,520.1.1,YIPF4,ENSG00000119820,Yip1 domain family member 4 [Source:HGNC Symbol;Acc:HGNC:28145]
785,521,Hp1bp3,ENSMUSG00000028759,521.1.1,HP1BP3,ENSG00000127483,heterochromatin protein 1 binding protein 3 [Source:HGNC Symbol;Acc:HGNC:24973]
1513,522,Rps11,ENSMUSG00000003429,522.1.1,RPS11,ENSG00000142534,ribosomal protein S11 [Source:HGNC Symbol;Acc:HGNC:10384]
1862,523,Tnrc6a,ENSMUSG00000052707,523.1.1,TNRC6A,ENSG00000090905,trinucleotide repeat containing 6A [Source:HGNC Symbol;Acc:HGNC:11969]
1437,524,Rbpms,ENSMUSG00000031586,524.1.1,RBPMS,ENSG00000157110,"RNA binding protein, mRNA processing factor [Source:HGNC Symbol;Acc:HGNC:19097]"
1441,525,Reep3,ENSMUSG00000019873,525.1.1,REEP3,ENSG00000165476,receptor accessory protein 3 [Source:HGNC Symbol;Acc:HGNC:23711]
2036,526,Zfand5,ENSMUSG00000024750,526.1.1,ZFAND5,ENSG00000107372,zinc finger AN1-type containing 5 [Source:HGNC Symbol;Acc:HGNC:13008]
1475,527,Rpl14,ENSMUSG00000025794,527.1.1,RPL14,ENSG00000188846,N/A
1743,528,St3gal6,ENSMUSG00000022747,528.1.1,ST3GAL6,ENSG00000064225,"ST3 beta-galactoside alpha-2,3-sialyltransferase 6 [Source:HGNC Symbol;Acc:HGNC:18080]"
640,529,Gabarapl2,ENSMUSG00000031950,529.1.1,GABARAPL2,ENSG00000034713,GABA type A receptor associated protein like 2 [Source:HGNC Symbol;Acc:HGNC:13291]
1723,530,Srp9,ENSMUSG00000026511,530.1.1,SRP9,ENSG00000143742,signal recognition particle 9 [Source:HGNC Symbol;Acc:HGNC:11304]
1824,531,Tm4sf1,ENSMUSG00000027800,531.1.1,TM4SF1,ENSG00000169908,transmembrane 4 L six family member 1 [Source:HGNC Symbol;Acc:HGNC:11853]
1804,532,Thoc2,ENSMUSG00000037475,532.1.1,THOC2,ENSG00000125676,THO complex 2 [Source:HGNC Symbol;Acc:HGNC:19073]
1161,533,Nfkbiz,ENSMUSG00000035356,533.1.1,NFKBIZ,ENSG00000144802,NFKB inhibitor zeta [Source:HGNC Symbol;Acc:HGNC:29805]
1560,534,Rtn4,ENSMUSG00000020458,534.1.1,RTN4,ENSG00000115310,reticulon 4 [Source:HGNC Symbol;Acc:HGNC:14085]
707,535,Gsk3b,ENSMUSG00000022812,535.1.1,GSK3B,ENSG00000082701,glycogen synthase kinase 3 beta [Source:HGNC Symbol;Acc:HGNC:4617]
1304,536,Ppm1a,ENSMUSG00000021096,536.1.1,PPM1A,ENSG00000100614,"protein phosphatase, Mg2+/Mn2+ dependent 1A [Source:HGNC Symbol;Acc:HGNC:9275]"
635,537,Fzd6,ENSMUSG00000022297,537.1.1,FZD6,ENSG00000164930,frizzled class receptor 6 [Source:HGNC Symbol;Acc:HGNC:4044]
636,537,Fzd6,ENSMUSG00000107137,537.2.1,N/A,N/A,N/A
1937,538,Ubl5,ENSMUSG00000084786,538.1.1,UBL5,ENSG00000198258,ubiquitin like 5 [Source:HGNC Symbol;Acc:HGNC:13736]
1319,539,Ppp3ca,ENSMUSG00000028161,539.1.1,PPP3CA,ENSG00000138814,protein phosphatase 3 catalytic subunit alpha [Source:HGNC Symbol;Acc:HGNC:9314]
1306,540,Ppp1ca,ENSMUSG00000040385,540.1.1,PPP1CA,ENSG00000172531,protein phosphatase 1 catalytic subunit alpha [Source:HGNC Symbol;Acc:HGNC:9281]
1307,540,Ppp1ca,ENSMUSG00000096994,540.2.1,N/A,N/A,N/A
898,541,Krtcap2,ENSMUSG00000042747,541.1.1,KRTCAP2,ENSG00000163463,keratinocyte associated protein 2 [Source:HGNC Symbol;Acc:HGNC:28942]
1135,542,Ndufb9,ENSMUSG00000022354,542.1.1,NDUFB9,ENSG00000147684,NADH:ubiquinone oxidoreductase subunit B9 [Source:HGNC Symbol;Acc:HGNC:7704]
1314,543,Ppp1r2,ENSMUSG00000047714,543.1.1,PPP1R2,ENSG00000184203,protein phosphatase 1 regulatory inhibitor subunit 2 [Source:HGNC Symbol;Acc:HGNC:9288]
1315,543,Ppp1r2,ENSMUSG00000047714,543.1.2,PPP1R2B,ENSG00000231989,PPP1R2 family member B [Source:HGNC Symbol;Acc:HGNC:16318]
197,544,Bptf,ENSMUSG00000040481,544.1.1,BPTF,ENSG00000171634,bromodomain PHD finger transcription factor [Source:HGNC Symbol;Acc:HGNC:3581]
503,545,Edf1,ENSMUSG00000015092,545.1.1,EDF1,ENSG00000107223,endothelial differentiation related factor 1 [Source:HGNC Symbol;Acc:HGNC:3164]
148,546,Atp5k,ENSMUSG00000050856,546.1.1,ATP5ME,ENSG00000169020,ATP synthase membrane subunit e [Source:HGNC Symbol;Acc:HGNC:846]
617,547,Fosl2,ENSMUSG00000029135,547.1.1,FOSL2,ENSG00000075426,"FOS like 2, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:3798]"
827,548,Il6st,ENSMUSG00000021756,548.1.1,IL6ST,ENSG00000134352,interleukin 6 signal transducer [Source:HGNC Symbol;Acc:HGNC:6021]
262,549,Ccnl2,ENSMUSG00000029068,549.1.1,CCNL2,ENSG00000221978,cyclin L2 [Source:HGNC Symbol;Acc:HGNC:20570]
373,550,Cox7a2,ENSMUSG00000032330,550.1.1,COX7A2,ENSG00000112695,cytochrome c oxidase subunit 7A2 [Source:HGNC Symbol;Acc:HGNC:2288]
1482,551,Rpl22l1,ENSMUSG00000039221,551.1.1,RPL22L1,ENSG00000163584,ribosomal protein L22 like 1 [Source:HGNC Symbol;Acc:HGNC:27610]
658,552,Gcnt2,ENSMUSG00000021360,552.1.1,GCNT2,ENSG00000111846,glucosaminyl (N-acetyl) transferase 2 (I blood group) [Source:HGNC Symbol;Acc:HGNC:4204]
665,553,Gimap6,ENSMUSG00000047867,553.1.1,GIMAP6,ENSG00000133561,"GTPase, IMAP family member 6 [Source:HGNC Symbol;Acc:HGNC:21918]"
403,554,Ctla2a,ENSMUSG00000044258,554.1.1,N/A,N/A,N/A
723,555,H2afz,ENSMUSG00000037894,555.1.1,H2AFZ,ENSG00000164032,H2A histone family member Z [Source:HGNC Symbol;Acc:HGNC:4741]
1268,556,Pkn2,ENSMUSG00000004591,556.1.1,PKN2,ENSG00000065243,protein kinase N2 [Source:HGNC Symbol;Acc:HGNC:9406]
246,557,Cavin2,ENSMUSG00000045954,557.1.1,CAVIN2,ENSG00000168497,caveolae associated protein 2 [Source:HGNC Symbol;Acc:HGNC:10690]
1668,558,Smap1,ENSMUSG00000026155,558.1.1,SMAP1,ENSG00000112305,small ArfGAP 1 [Source:HGNC Symbol;Acc:HGNC:19651]
1734,559,Srsf5,ENSMUSG00000021134,559.1.1,SRSF5,ENSG00000100650,serine and arginine rich splicing factor 5 [Source:HGNC Symbol;Acc:HGNC:10787]
1877,560,Tpm3,ENSMUSG00000027940,560.1.1,TPM3,ENSG00000143549,N/A
93,561,Apoe,ENSMUSG00000002985,561.1.1,APOE,ENSG00000130203,apolipoprotein E [Source:HGNC Symbol;Acc:HGNC:613]
907,562,Laptm4a,ENSMUSG00000020585,562.1.1,LAPTM4A,ENSG00000068697,lysosomal protein transmembrane 4 alpha [Source:HGNC Symbol;Acc:HGNC:6924]
1915,563,U2surp,ENSMUSG00000032407,563.1.1,U2SURP,ENSG00000163714,U2 snRNP associated SURP domain containing [Source:HGNC Symbol;Acc:HGNC:30855]
1165,564,Nktr,ENSMUSG00000032525,564.1.1,NKTR,ENSG00000114857,natural killer cell triggering receptor [Source:HGNC Symbol;Acc:HGNC:7833]
29,565,Acox1,ENSMUSG00000020777,565.1.1,ACOX1,ENSG00000161533,acyl-CoA oxidase 1 [Source:HGNC Symbol;Acc:HGNC:119]
1172,566,Notch1,ENSMUSG00000026923,566.1.1,NOTCH1,ENSG00000148400,notch 1 [Source:HGNC Symbol;Acc:HGNC:7881]
1426,567,Rassf1,ENSMUSG00000010067,567.1.1,RASSF1,ENSG00000068028,Ras association domain family member 1 [Source:HGNC Symbol;Acc:HGNC:9882]
1431,568,Rbm25,ENSMUSG00000010608,568.1.1,RBM25,ENSG00000119707,RNA binding motif protein 25 [Source:HGNC Symbol;Acc:HGNC:23244]
237,569,Capzb,ENSMUSG00000028745,569.1.1,CAPZB,ENSG00000077549,capping actin protein of muscle Z-line subunit beta [Source:HGNC Symbol;Acc:HGNC:1491]
598,570,Fermt2,ENSMUSG00000037712,570.1.1,FERMT2,ENSG00000073712,fermitin family member 2 [Source:HGNC Symbol;Acc:HGNC:15767]
638,571,Gabarap,ENSMUSG00000018567,571.1.1,GABARAP,ENSG00000170296,GABA type A receptor-associated protein [Source:HGNC Symbol;Acc:HGNC:4067]
434,572,Dbi,ENSMUSG00000026385,572.1.1,DBI,ENSG00000155368,"diazepam binding inhibitor, acyl-CoA binding protein [Source:HGNC Symbol;Acc:HGNC:2690]"
412,573,Cttnbp2nl,ENSMUSG00000062127,573.1.1,CTTNBP2NL,ENSG00000143079,CTTNBP2 N-terminal like [Source:HGNC Symbol;Acc:HGNC:25330]
1,574,0610012G03Rik,ENSMUSG00000107002,574.1.1,NCBP2-AS2,ENSG00000270170,NCBP2 antisense RNA 2 (head to head) [Source:HGNC Symbol;Acc:HGNC:25121]
1196,575,Oaz2,ENSMUSG00000040652,575.1.1,OAZ2,ENSG00000180304,ornithine decarboxylase antizyme 2 [Source:HGNC Symbol;Acc:HGNC:8096]
1325,576,Prdx2,ENSMUSG00000005161,576.1.1,PRDX2,ENSG00000167815,peroxiredoxin 2 [Source:HGNC Symbol;Acc:HGNC:9353]
1514,577,Rps12,ENSMUSG00000061983,577.1.1,N/A,N/A,N/A
1022,578,Mllt10,ENSMUSG00000026743,578.1.1,MLLT10,ENSG00000078403,"MLLT10, histone lysine methyltransferase DOT1L cofactor [Source:HGNC Symbol;Acc:HGNC:16063]"
757,579,Hmgb1,ENSMUSG00000066551,579.1.1,N/A,N/A,N/A
1761,580,Sub1,ENSMUSG00000022205,580.1.1,SUB1,ENSG00000113387,"SUB1 homolog, transcriptional regulator [Source:HGNC Symbol;Acc:HGNC:19985]"
331,581,Clic4,ENSMUSG00000037242,581.1.1,CLIC4,ENSG00000169504,chloride intracellular channel 4 [Source:HGNC Symbol;Acc:HGNC:13518]
812,582,Ifi27,ENSMUSG00000064215,582.1.1,N/A,N/A,N/A
1251,583,Phf14,ENSMUSG00000029629,583.1.1,PHF14,ENSG00000106443,PHD finger protein 14 [Source:HGNC Symbol;Acc:HGNC:22203]
147,584,Atp5j2,ENSMUSG00000038690,584.1.1,ATP5MF,ENSG00000241468,ATP synthase membrane subunit f [Source:HGNC Symbol;Acc:HGNC:848]
842,585,Irf2bpl,ENSMUSG00000034168,585.1.1,IRF2BPL,ENSG00000119669,interferon regulatory factor 2 binding protein like [Source:HGNC Symbol;Acc:HGNC:14282]
1205,586,Ostf1,ENSMUSG00000024725,586.1.1,OSTF1,ENSG00000134996,osteoclast stimulating factor 1 [Source:HGNC Symbol;Acc:HGNC:8510]
472,587,Dnm1l,ENSMUSG00000022789,587.1.1,DNM1L,ENSG00000087470,dynamin 1 like [Source:HGNC Symbol;Acc:HGNC:2973]
823,588,Igf1r,ENSMUSG00000005533,588.1.1,IGF1R,ENSG00000140443,insulin like growth factor 1 receptor [Source:HGNC Symbol;Acc:HGNC:5465]
516,589,Ehd4,ENSMUSG00000027293,589.1.1,EHD4,ENSG00000103966,EH domain containing 4 [Source:HGNC Symbol;Acc:HGNC:3245]
1119,590,Ndufa6,ENSMUSG00000022450,590.1.1,NDUFA6,ENSG00000184983,NADH:ubiquinone oxidoreductase subunit A6 [Source:HGNC Symbol;Acc:HGNC:7690]
539,591,Elf1,ENSMUSG00000036461,591.1.1,ELF1,ENSG00000120690,E74 like ETS transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:3316]
752,592,Hist1h2bc,ENSMUSG00000018102,592.1.1,HIST1H2BC,ENSG00000180596,histone cluster 1 H2B family member i [Source:HGNC Symbol;Acc:HGNC:4756]
753,592,Hist1h2bc,ENSMUSG00000047246,592.2.1,HIST1H2BG,ENSG00000273802,histone cluster 1 H2B family member g [Source:HGNC Symbol;Acc:HGNC:4746]
754,592,Hist1h2bc,ENSMUSG00000058385,592.3.1,N/A,N/A,N/A
1935,593,Ube3a,ENSMUSG00000025326,593.1.1,UBE3A,ENSG00000114062,ubiquitin protein ligase E3A [Source:HGNC Symbol;Acc:HGNC:12496]
584,594,Fam208a,ENSMUSG00000040651,594.1.1,TASOR,ENSG00000163946,transcription activation suppressor [Source:HGNC Symbol;Acc:HGNC:30314]
1909,595,Tulp4,ENSMUSG00000034377,595.1.1,TULP4,ENSG00000130338,tubby like protein 4 [Source:HGNC Symbol;Acc:HGNC:15530]
1639,596,Slc16a4,ENSMUSG00000027896,596.1.1,SLC16A4,ENSG00000168679,solute carrier family 16 member 4 [Source:HGNC Symbol;Acc:HGNC:10925]
1215,597,Parvb,ENSMUSG00000022438,597.1.1,PARVB,ENSG00000188677,parvin beta [Source:HGNC Symbol;Acc:HGNC:14653]
756,598,Hmg20b,ENSMUSG00000020232,598.1.1,HMG20B,ENSG00000064961,high mobility group 20B [Source:HGNC Symbol;Acc:HGNC:5002]
1465,599,Rock1,ENSMUSG00000024290,599.1.1,ROCK1,ENSG00000067900,Rho associated coiled-coil containing protein kinase 1 [Source:HGNC Symbol;Acc:HGNC:10251]
368,600,Cox5a,ENSMUSG00000000088,600.1.1,COX5A,ENSG00000178741,cytochrome c oxidase subunit 5A [Source:HGNC Symbol;Acc:HGNC:2267]
1883,601,Tra2b,ENSMUSG00000022858,601.1.1,TRA2B,ENSG00000136527,transformer 2 beta homolog [Source:HGNC Symbol;Acc:HGNC:10781]
548,602,Emc7,ENSMUSG00000055943,602.1.1,EMC7,ENSG00000134153,ER membrane protein complex subunit 7 [Source:HGNC Symbol;Acc:HGNC:24301]
191,603,Bnip3l,ENSMUSG00000022051,603.1.1,BNIP3L,ENSG00000104765,BCL2 interacting protein 3 like [Source:HGNC Symbol;Acc:HGNC:1085]
1122,604,Ndufa8,ENSMUSG00000026895,604.1.1,NDUFA8,ENSG00000119421,NADH:ubiquinone oxidoreductase subunit A8 [Source:HGNC Symbol;Acc:HGNC:7692]
1116,605,Ndufa2,ENSMUSG00000014294,605.1.1,NDUFA2,ENSG00000131495,NADH:ubiquinone oxidoreductase subunit A2 [Source:HGNC Symbol;Acc:HGNC:7685]
405,606,Ctnnb1,ENSMUSG00000006932,606.1.1,CTNNB1,ENSG00000168036,catenin beta 1 [Source:HGNC Symbol;Acc:HGNC:2514]
369,607,Cox5b,ENSMUSG00000061518,607.1.1,COX5B,ENSG00000135940,cytochrome c oxidase subunit 5B [Source:HGNC Symbol;Acc:HGNC:2269]
1019,608,Mkln1,ENSMUSG00000025609,608.1.1,MKLN1,ENSG00000128585,muskelin 1 [Source:HGNC Symbol;Acc:HGNC:7109]
400,609,Ctbp2,ENSMUSG00000030970,609.1.1,CTBP2,ENSG00000175029,C-terminal binding protein 2 [Source:HGNC Symbol;Acc:HGNC:2495]
314,610,Chd4,ENSMUSG00000063870,610.1.1,CHD4,ENSG00000111642,chromodomain helicase DNA binding protein 4 [Source:HGNC Symbol;Acc:HGNC:1919]
1628,611,She,ENSMUSG00000046280,611.1.1,SHE,ENSG00000169291,Src homology 2 domain containing E [Source:HGNC Symbol;Acc:HGNC:27004]
2019,612,Ywhah,ENSMUSG00000018965,612.1.1,YWHAH,ENSG00000128245,tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein eta [Source:HGNC Symbol;Acc:HGNC:12853]
889,613,Klf9,ENSMUSG00000033863,613.1.1,KLF9,ENSG00000119138,Kruppel like factor 9 [Source:HGNC Symbol;Acc:HGNC:1123]
1418,614,Rapgef4,ENSMUSG00000049044,614.1.1,RAPGEF4,ENSG00000091428,Rap guanine nucleotide exchange factor 4 [Source:HGNC Symbol;Acc:HGNC:16626]
1218,615,Pcbp1,ENSMUSG00000051695,615.1.1,PCBP1,ENSG00000169564,poly(rC) binding protein 1 [Source:HGNC Symbol;Acc:HGNC:8647]
258,616,Ccm2l,ENSMUSG00000027474,616.1.1,CCM2L,ENSG00000101331,CCM2 like scaffold protein [Source:HGNC Symbol;Acc:HGNC:16153]
2018,617,Ywhae,ENSMUSG00000020849,617.1.1,YWHAE,ENSG00000108953,tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein epsilon [Source:HGNC Symbol;Acc:HGNC:12851]
1806,618,Thrap3,ENSMUSG00000043962,618.1.1,THRAP3,ENSG00000054118,thyroid hormone receptor associated protein 3 [Source:HGNC Symbol;Acc:HGNC:22964]
1700,619,Sox17,ENSMUSG00000025902,619.1.1,SOX17,ENSG00000164736,SRY-box 17 [Source:HGNC Symbol;Acc:HGNC:18122]
1508,620,Rpl9,ENSMUSG00000047215,620.1.1,N/A,N/A,N/A
1250,621,Phactr4,ENSMUSG00000066043,621.1.1,PHACTR4,ENSG00000204138,phosphatase and actin regulator 4 [Source:HGNC Symbol;Acc:HGNC:25793]
1274,622,Plk2,ENSMUSG00000021701,622.1.1,PLK2,ENSG00000145632,polo like kinase 2 [Source:HGNC Symbol;Acc:HGNC:19699]
1507,623,Rpl8,ENSMUSG00000003970,623.1.1,RPL8,ENSG00000161016,ribosomal protein L8 [Source:HGNC Symbol;Acc:HGNC:10368]
521,624,Eif3a,ENSMUSG00000024991,624.1.1,EIF3A,ENSG00000107581,eukaryotic translation initiation factor 3 subunit A [Source:HGNC Symbol;Acc:HGNC:3271]
184,625,Bcl2l1,ENSMUSG00000007659,625.1.1,BCL2L1,ENSG00000171552,BCL2 like 1 [Source:HGNC Symbol;Acc:HGNC:992]
2026,626,Zbtb7a,ENSMUSG00000035011,626.1.1,ZBTB7A,ENSG00000178951,zinc finger and BTB domain containing 7A [Source:HGNC Symbol;Acc:HGNC:18078]
1720,627,Sri,ENSMUSG00000003161,627.1.1,SRI,ENSG00000075142,sorcin [Source:HGNC Symbol;Acc:HGNC:11292]
1078,628,Mtus1,ENSMUSG00000045636,628.1.1,MTUS1,ENSG00000129422,microtubule associated scaffold protein 1 [Source:HGNC Symbol;Acc:HGNC:29789]
1219,629,Pcbp2,ENSMUSG00000056851,629.1.1,PCBP2,ENSG00000197111,poly(rC) binding protein 2 [Source:HGNC Symbol;Acc:HGNC:8648]
1317,630,Ppp2r2a,ENSMUSG00000022052,630.1.1,PPP2R2A,ENSG00000221914,protein phosphatase 2 regulatory subunit Balpha [Source:HGNC Symbol;Acc:HGNC:9304]
441,631,Ddit4,ENSMUSG00000020108,631.1.1,DDIT4,ENSG00000168209,DNA damage inducible transcript 4 [Source:HGNC Symbol;Acc:HGNC:24944]
1394,632,Rab18,ENSMUSG00000073639,632.1.1,RAB18,ENSG00000099246,"RAB18, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:14244]"
1023,633,Mllt3,ENSMUSG00000028496,633.1.1,MLLT3,ENSG00000171843,"MLLT3, super elongation complex subunit [Source:HGNC Symbol;Acc:HGNC:7136]"
1266,634,Pkig,ENSMUSG00000035268,634.1.1,PKIG,ENSG00000168734,cAMP-dependent protein kinase inhibitor gamma [Source:HGNC Symbol;Acc:HGNC:9019]
739,635,Herc2,ENSMUSG00000030451,635.1.1,HERC2,ENSG00000128731,HECT and RLD domain containing E3 ubiquitin protein ligase 2 [Source:HGNC Symbol;Acc:HGNC:4868]
81,636,Anp32b,ENSMUSG00000028333,636.1.1,ANP32B,ENSG00000136938,acidic nuclear phosphoprotein 32 family member B [Source:HGNC Symbol;Acc:HGNC:16677]
1132,637,Ndufb7,ENSMUSG00000033938,637.1.1,NDUFB7,ENSG00000099795,NADH:ubiquinone oxidoreductase subunit B7 [Source:HGNC Symbol;Acc:HGNC:7702]
1447,638,Rfc1,ENSMUSG00000029191,638.1.1,RFC1,ENSG00000035928,replication factor C subunit 1 [Source:HGNC Symbol;Acc:HGNC:9969]
1474,639,Rpl13a,ENSMUSG00000074129,639.1.1,RPL13A,ENSG00000142541,ribosomal protein L13a [Source:HGNC Symbol;Acc:HGNC:10304]
123,640,Asap1,ENSMUSG00000022377,640.1.1,ASAP1,ENSG00000153317,"ArfGAP with SH3 domain, ankyrin repeat and PH domain 1 [Source:HGNC Symbol;Acc:HGNC:2720]"
1098,641,Naa38,ENSMUSG00000059278,641.1.1,NAA38,ENSG00000183011,"N(alpha)-acetyltransferase 38, NatC auxiliary subunit [Source:HGNC Symbol;Acc:HGNC:28212]"
740,642,Hes1,ENSMUSG00000022528,642.1.1,HES1,ENSG00000114315,hes family bHLH transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:5192]
1794,643,Tcf4,ENSMUSG00000053477,643.1.1,TCF4,ENSG00000196628,transcription factor 4 [Source:HGNC Symbol;Acc:HGNC:11634]
16,644,4932438A13Rik,ENSMUSG00000037270,644.1.1,KIAA1109,ENSG00000138688,KIAA1109 [Source:HGNC Symbol;Acc:HGNC:26953]
974,645,Map4,ENSMUSG00000032479,645.1.1,MAP4,ENSG00000047849,microtubule associated protein 4 [Source:HGNC Symbol;Acc:HGNC:6862]
571,646,Etnk1,ENSMUSG00000030275,646.1.1,ETNK1,ENSG00000139163,ethanolamine kinase 1 [Source:HGNC Symbol;Acc:HGNC:24649]
874,647,Kif1c,ENSMUSG00000020821,647.1.1,KIF1C,ENSG00000129250,kinesin family member 1C [Source:HGNC Symbol;Acc:HGNC:6317]
1690,648,Snrpg,ENSMUSG00000057278,648.1.1,SNRPG,ENSG00000143977,N/A
2024,649,Zbtb38,ENSMUSG00000040433,649.1.1,ZBTB38,ENSG00000177311,zinc finger and BTB domain containing 38 [Source:HGNC Symbol;Acc:HGNC:26636]
949,650,Lsm6,ENSMUSG00000031683,650.1.1,LSM6,ENSG00000164167,"LSM6 homolog, U6 small nuclear RNA and mRNA degradation associated [Source:HGNC Symbol;Acc:HGNC:17017]"
701,651,Grap,ENSMUSG00000004837,651.1.1,GRAP,ENSG00000154016,GRB2 related adaptor protein [Source:HGNC Symbol;Acc:HGNC:4562]
702,651,Grap,ENSMUSG00000004837,651.1.2,GRAPL,ENSG00000189152,GRB2 related adaptor protein like [Source:HGNC Symbol;Acc:HGNC:37240]
